INFO:root: tact: 123 acc: 3 memory_address: 8 PC: 8 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 124 acc: 3 memory_address: 8 PC: 9 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 125 acc: 3 memory_address: 9 PC: 9 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 126 acc: 3 memory_address: 9 PC: 0 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 127 acc: 3 memory_address: 0 PC: 0 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 128 acc: 3 memory_address: 1000 PC: 1 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 129 acc: 3 memory_address: 1 PC: 1 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 130 acc: 3 memory_address: 999 PC: 2 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 131 acc: 3 memory_address: 2 PC: 2 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 132 acc: 3 memory_address: 2 PC: 4 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 133 acc: 3 memory_address: 4 PC: 4 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 134 acc: 3 memory_address: 1000 PC: 5 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 135 acc: 3 memory_address: 5 PC: 5 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 136 acc: 2 memory_address: 998 PC: 6 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 137 acc: 2 memory_address: 6 PC: 6 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 138 acc: 2 memory_address: 1000 PC: 7 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 139 acc: 2 memory_address: 7 PC: 7 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 140 acc: 2 memory_address: 1000 PC: 8 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 141 acc: 2 memory_address: 8 PC: 8 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 142 acc: 2 memory_address: 8 PC: 9 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 143 acc: 2 memory_address: 9 PC: 9 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 144 acc: 2 memory_address: 9 PC: 0 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 145 acc: 2 memory_address: 0 PC: 0 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 146 acc: 2 memory_address: 1000 PC: 1 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 147 acc: 2 memory_address: 1 PC: 1 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 148 acc: 2 memory_address: 999 PC: 2 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 149 acc: 2 memory_address: 2 PC: 2 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 150 acc: 2 memory_address: 2 PC: 4 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 151 acc: 2 memory_address: 4 PC: 4 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 152 acc: 2 memory_address: 1000 PC: 5 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 153 acc: 2 memory_address: 5 PC: 5 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 154 acc: 1 memory_address: 998 PC: 6 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 155 acc: 1 memory_address: 6 PC: 6 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 156 acc: 1 memory_address: 1000 PC: 7 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 157 acc: 1 memory_address: 7 PC: 7 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 158 acc: 1 memory_address: 1000 PC: 8 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 159 acc: 1 memory_address: 8 PC: 8 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 160 acc: 1 memory_address: 8 PC: 9 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 161 acc: 1 memory_address: 9 PC: 9 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 162 acc: 1 memory_address: 9 PC: 0 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 163 acc: 1 memory_address: 0 PC: 0 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 164 acc: 1 memory_address: 1000 PC: 1 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 165 acc: 1 memory_address: 1 PC: 1 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 166 acc: 1 memory_address: 999 PC: 2 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 167 acc: 1 memory_address: 2 PC: 2 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 168 acc: 1 memory_address: 2 PC: 4 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 169 acc: 1 memory_address: 4 PC: 4 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 170 acc: 1 memory_address: 1000 PC: 5 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 171 acc: 1 memory_address: 5 PC: 5 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 172 acc: 0 memory_address: 998 PC: 6 inst: {'opcode': 'SUB', 'address': 998}
INFO:root: tact: 173 acc: 0 memory_address: 6 PC: 6 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 174 acc: 0 memory_address: 1000 PC: 7 inst: {'opcode': 'WRITE', 'address': 1000}
INFO:root: tact: 175 acc: 0 memory_address: 7 PC: 7 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 176 acc: 0 memory_address: 1000 PC: 8 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 177 acc: 0 memory_address: 8 PC: 8 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 178 acc: 0 memory_address: 8 PC: 9 inst: {'opcode': 'OUTPUT', 'address': 0}
INFO:root: tact: 179 acc: 0 memory_address: 9 PC: 9 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 180 acc: 0 memory_address: 9 PC: 0 inst: {'opcode': 'JUMP', 'address': -9}
INFO:root: tact: 181 acc: 0 memory_address: 0 PC: 0 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 182 acc: 0 memory_address: 1000 PC: 1 inst: {'opcode': 'READ', 'address': 1000}
INFO:root: tact: 183 acc: 0 memory_address: 1 PC: 1 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 184 acc: 0 memory_address: 999 PC: 2 inst: {'opcode': 'SUB', 'address': 999}
INFO:root: tact: 185 acc: 0 memory_address: 2 PC: 2 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 186 acc: 0 memory_address: 2 PC: 3 inst: {'opcode': 'JMPNSNZ', 'address': 998}
INFO:root: tact: 187 acc: 0 memory_address: 3 PC: 3 inst: {'opcode': 'JUMP', 'address': 7}
INFO:root: tact: 188 acc: 0 memory_address: 3 PC: 10 inst: {'opcode': 'JUMP', 'address': 7}
INFO:root: tact: 189 acc: 0 memory_address: 10 PC: 10 inst: None
